"date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl,ind,wdsp,ind,wddir,ww,w,sun,vis,clht,clamt"
"05-mar-2018 14:00,0,0.0,0,4.4,0,4.0,3.3,7.8,93,984.3,2,7,2,230,10,22,0.0,8000,9,7"
"05-mar-2018 15:00,0,0.0,0,4.2,0,3.7,2.9,7.6,92,984.5,2,5,2,260,10,22,0.0,9000,19,8"
"05-mar-2018 16:00,0,0.0,0,3.8,0,3.4,2.9,7.5,93,984.6,2,4,2,240,10,22,0.0,7000,15,8"
"05-mar-2018 17:00,0,0.2,0,3.5,0,3.3,2.9,7.6,97,984.7,2,5,2,280,60,62,0.0,6000,16,8"
"05-mar-2018 18:00,0,0.2,0,3.3,0,3.1,2.8,7.5,97,985.0,2,4,2,280,58,65,0.0,3200,19,8"
"05-mar-2018 19:00,2,0.0,0,3.2,0,3.1,2.9,7.5,98,985.2,2,5,2,270,21,65,0.0,5000,30,8"
"05-mar-2018 20:00,0,0.0,0,2.9,0,2.8,2.6,7.4,98,985.2,2,4,2,280,10,22,0.0,5000,30,8"
"05-mar-2018 21:00,3,0.0,0,2.5,0,2.4,2.2,7.2,98,985.3,2,3,2,310,46,65,0.0,900,11,8"
"05-mar-2018 22:00,3,0.0,0,2.9,0,2.7,2.4,7.3,96,985.3,2,3,2,290,28,42,0.0,4000,12,7"
"05-mar-2018 23:00,3,0.0,0,2.8,0,2.6,2.3,7.2,96,985.3,2,2,2,300,10,22,0.0,8000,10,7"
"06-mar-2018 00:00,3,0.0,0,3.1,0,3.0,2.8,7.5,98,985.2,2,4,2,250,10,65,0.0,6000,6,7"
"06-mar-2018 01:00,3,0.0,0,3.1,0,2.9,2.6,7.4,96,985.2,2,6,2,260,10,22,0.0,4000,6,7"
"06-mar-2018 02:00,2,0.0,0,2.7,0,2.7,2.6,7.4,100,985.0,2,7,2,270,21,62,0.0,3000,3,8"
"06-mar-2018 03:00,3,0.0,0,3.0,0,2.8,2.5,7.3,96,984.7,2,7,2,250,10,62,0.0,3000,5,8"
"06-mar-2018 04:00,3,0.0,0,2.8,0,2.7,2.5,7.3,98,984.7,2,6,2,250,10,22,0.0,5000,6,8"
"06-mar-2018 05:00,3,0.0,0,2.9,0,2.7,2.3,7.3,96,984.6,2,7,2,250,10,22,0.0,4500,6,8"
"06-mar-2018 06:00,3,0.0,0,2.7,0,2.5,2.2,7.2,96,984.9,2,7,2,260,10,62,0.0,4500,7,8"
"06-mar-2018 07:00,3,0.0,0,2.8,0,2.5,2.0,7.1,95,985.2,2,8,2,250,10,22,0.0,5000,9,8"
"06-mar-2018 08:00,3,0.0,0,3.0,0,2.6,1.9,7.0,93,985.5,2,8,2,250,10,22,0.0,5000,10,7"
"06-mar-2018 09:00,0,0.0,0,3.5,0,2.9,1.9,7.0,90,985.9,2,7,2,250,10,22,0.0,8000,40,7"
"06-mar-2018 10:00,0,0.0,0,5.0,0,3.7,1.8,6.9,79,985.9,2,8,2,240,10,22,0.3,16000,40,7"
"06-mar-2018 11:00,0,0.0,0,5.8,0,3.9,1.1,6.6,71,986.1,2,9,2,240,2,11,1.0,20000,40,7"
"06-mar-2018 12:00,0,0.0,0,6.9,0,4.1,-0.3,5.9,60,986.3,2,9,2,250,2,11,0.7,20000,40,5"
"06-mar-2018 13:00,0,0.0,0,7.1,0,4.0,-1.2,5.7,56,986.5,2,7,2,240,2,11,0.6,20000,40,5"
"06-mar-2018 14:00,0,0.0,0,6.4,0,3.8,-0.5,5.9,62,986.5,2,7,2,240,2,11,0.2,25000,40,5"
"06-mar-2018 15:00,0,0.0,0,6.6,0,3.9,-0.6,5.9,61,986.7,2,8,2,260,2,11,0.1,30000,36,6"
"06-mar-2018 16:00,0,0.0,0,6.2,0,3.6,-0.5,5.8,61,986.9,2,9,2,230,2,11,0.3,30000,32,6"
"06-mar-2018 17:00,0,0.0,0,6.5,0,4.0,-0.1,6.1,63,986.9,2,7,2,220,2,11,0.9,30000,200,4"
"06-mar-2018 18:00,0,0.0,0,4.9,0,3.0,-0.1,6.1,70,987.5,2,7,2,200,2,11,0.0,35000,999,3"
"06-mar-2018 19:00,0,0.0,0,4.8,0,2.9,-0.1,6.0,70,987.7,2,5,2,200,2,11,0.0,30000,40,6"
"06-mar-2018 20:00,0,0.0,0,3.9,0,2.4,-0.2,6.1,75,987.9,2,5,2,190,2,11,0.0,30000,40,6"
"06-mar-2018 21:00,2,0.0,0,4.1,0,2.5,-0.1,6.0,74,988.1,2,6,2,190,80,82,0.0,30000,34,6"
"06-mar-2018 22:00,2,0.0,0,4.0,0,2.9,1.2,6.6,82,988.3,2,6,2,210,80,82,0.0,30000,30,6"
"06-mar-2018 23:00,2,0.0,0,3.9,0,3.1,1.9,7.0,87,988.2,2,6,2,210,25,82,0.0,30000,18,6"
"07-mar-2018 00:00,2,0.0,0,4.1,0,3.3,2.1,7.1,87,988.4,2,8,2,220,25,82,0.0,30000,16,6"
"07-mar-2018 01:00,2,0.0,0,4.0,0,3.2,2.1,7.0,87,988.6,2,11,2,230,25,82,0.0,20000,12,7"
"07-mar-2018 02:00,2,0.0,0,3.6,0,3.1,2.3,7.2,91,988.6,2,10,2,230,80,82,0.0,20000,10,7"
"07-mar-2018 03:00,0,0.2,0,3.6,0,3.2,2.5,7.4,93,988.7,2,9,2,230,80,82,0.0,10000,10,7"
"07-mar-2018 04:00,2,0.0,0,3.6,0,2.9,1.7,7.0,88,988.8,2,9,2,230,80,82,0.0,10000,10,7"
"07-mar-2018 05:00,2,0.0,0,3.4,0,2.3,0.4,6.3,81,989.0,2,11,2,230,25,82,0.0,20000,40,7"
"07-mar-2018 06:00,0,0.0,0,2.9,0,1.7,-0.4,5.9,79,989.3,2,12,2,230,1,82,0.0,30000,40,6"
"07-mar-2018 07:00,0,0.0,0,2.6,0,1.5,-0.3,5.9,81,989.8,2,12,2,230,2,11,0.3,30000,40,4"
"07-mar-2018 08:00,0,0.0,0,3.0,0,1.9,-0.1,6.1,81,990.0,2,11,2,230,2,11,1.0,30000,40,5"
"07-mar-2018 09:00,0,0.0,0,4.1,0,2.8,0.7,6.4,79,990.5,2,15,2,230,2,11,1.0,30000,999,3"
"07-mar-2018 10:00,0,0.0,0,4.5,0,3.1,0.8,6.5,77,990.6,2,17,2,230,2,11,1.0,30000,999,3"
"07-mar-2018 11:00,0,0.0,0,5.6,0,3.9,1.4,6.7,74,990.9,2,18,2,240,2,11,1.0,30000,999,3"
"07-mar-2018 12:00,0,0.0,0,6.6,0,4.6,1.7,6.9,71,990.9,2,18,2,240,2,11,0.8,35000,999,3"
"07-mar-2018 13:00,0,0.0,0,7.4,0,4.4,-0.2,6.0,58,991.4,2,16,2,250,2,11,0.5,35000,999,3"
"07-mar-2018 14:00,0,0.0,0,7.8,0,4.1,-2.0,5.2,49,991.2,2,17,2,240,2,11,0.9,50000,999,4"
"07-mar-2018 15:00,0,0.0,0,8.2,0,4.5,-1.6,5.5,50,991.1,2,16,2,240,16,21,0.9,60000,50,5"
"07-mar-2018 16:00,2,0.0,0,5.7,0,3.4,-0.3,6.0,65,991.5,2,15,2,250,80,82,0.4,60000,36,7"
"07-mar-2018 17:00,2,0.0,0,5.7,0,3.4,-0.5,6.0,65,991.4,2,12,2,230,25,82,0.9,60000,999,4"
"07-mar-2018 18:00,0,0.0,0,5.2,0,3.2,0.0,6.1,69,991.7,2,9,2,220,16,81,0.2,60000,48,6"
"07-mar-2018 19:00,0,0.0,0,3.7,0,2.3,0.0,6.1,76,991.7,2,8,2,210,2,11,0.0,40000,999,2"
"07-mar-2018 20:00,0,0.0,0,2.6,0,1.5,-0.4,5.9,81,991.5,2,7,2,200,2,11,0.0,30000,999,1"
"07-mar-2018 21:00,0,0.0,0,1.6,0,0.8,-0.6,5.8,85,991.4,2,6,2,200,2,11,0.0,30000,999,1"
"07-mar-2018 22:00,0,0.0,0,1.7,0,0.9,-0.6,5.9,85,991.2,2,6,2,210,2,11,0.0,30000,200,4"
"07-mar-2018 23:00,0,0.0,1,-0.7,1,-1.3,-2.4,5.1,87,990.8,2,3,2,180,2,11,0.0,30000,140,5"
"08-mar-2018 00:00,0,0.0,1,-1.5,1,-1.8,-2.3,5.1,93,990.1,2,3,2,250,2,11,0.0,30000,140,6"
"08-mar-2018 01:00,3,0.0,1,-1.6,1,-2.0,-2.7,5.0,91,990.0,2,2,2,340,2,11,0.0,30000,120,6"
"08-mar-2018 02:00,3,0.0,1,-2.1,1,-2.3,-2.7,5.0,95,989.6,2,3,2,320,2,11,0.0,30000,60,6"
"08-mar-2018 03:00,3,0.0,1,-1.3,1,-1.5,-1.8,5.3,96,989.5,2,5,2,280,2,11,0.0,30000,60,6"
"08-mar-2018 04:00,3,0.0,1,-0.2,1,-0.4,-0.8,5.8,96,989.8,2,8,2,260,2,11,0.0,30000,999,3"
"08-mar-2018 05:00,3,0.0,1,-0.3,1,-0.5,-1.0,5.7,96,990.1,2,8,2,270,2,11,0.0,30000,999,3"
"08-mar-2018 06:00,3,0.0,1,-0.1,1,-0.3,-0.8,5.8,96,990.6,2,9,2,250,2,11,0.0,30000,999,3"
"08-mar-2018 07:00,3,0.0,0,0.3,0,0.0,-0.6,5.9,94,991.0,2,10,2,250,2,11,0.3,30000,999,3"
"08-mar-2018 08:00,3,0.0,0,1.5,0,0.9,-0.2,6.0,89,991.2,2,11,2,240,2,11,0.8,30000,999,3"
"08-mar-2018 09:00,0,0.0,0,3.0,0,2.0,0.4,6.3,83,991.6,2,11,2,240,2,11,0.5,30000,28,5"
"08-mar-2018 10:00,2,0.0,0,3.7,0,2.7,1.0,6.6,83,992.2,2,13,2,230,26,82,0.1,30000,23,7"
"08-mar-2018 11:00,2,0.0,0,3.8,0,3.0,1.7,6.9,87,992.9,2,13,2,240,80,82,0.1,14000,12,7"
"08-mar-2018 12:00,2,0.0,0,4.6,0,3.6,2.2,7.1,84,993.4,2,13,2,250,25,82,0.1,30000,12,7"
"08-mar-2018 13:00,0,0.0,0,5.8,0,4.4,2.4,7.2,79,993.7,2,12,2,240,2,11,0.0,30000,30,7"
"08-mar-2018 14:00,0,0.0,0,7.1,0,5.2,2.5,7.3,73,994.1,2,11,2,270,2,11,0.1,50000,20,7"
"08-mar-2018 15:00,0,0.0,0,8.2,0,6.0,2.9,7.6,70,994.5,2,13,2,270,2,11,0.9,60000,999,4"
"08-mar-2018 16:00,2,0.0,0,7.6,0,5.4,2.4,7.2,69,995.1,2,12,2,280,80,82,0.7,40000,35,6"
"08-mar-2018 17:00,2,0.0,0,7.3,0,5.5,3.0,7.6,74,996.0,2,11,2,270,25,81,0.9,60000,999,2"
"08-mar-2018 18:00,2,0.0,0,5.6,0,4.1,1.9,7.0,77,997.2,2,10,2,270,80,81,0.1,60000,999,3"
"08-mar-2018 19:00,2,0.0,0,4.5,0,3.2,1.2,6.6,79,998.3,2,7,2,280,25,81,0.0,40000,60,6"
"08-mar-2018 20:00,0,0.0,0,3.7,0,2.5,0.6,6.4,80,998.9,2,6,2,270,2,11,0.0,30000,60,6"
"08-mar-2018 21:00,0,0.0,0,3.8,0,2.7,0.9,6.5,82,999.7,2,7,2,260,1,81,0.0,30000,999,1"
"08-mar-2018 22:00,0,0.0,0,3.2,0,2.2,0.5,6.4,83,1000.4,2,7,2,260,2,11,0.0,30000,999,3"
"08-mar-2018 23:00,3,0.0,0,2.0,0,1.4,0.5,6.3,89,1000.9,2,5,2,250,2,11,0.0,30000,999,1"
"09-mar-2018 00:00,3,0.0,0,1.2,0,0.7,-0.1,6.0,90,1001.3,2,5,2,250,2,81,0.0,30000,999,1"
"09-mar-2018 01:00,0,0.0,0,0.7,0,0.3,-0.3,5.9,92,1001.7,2,5,2,240,2,11,0.0,30000,999,1"
